record	site	observation
001	Muir Woods	Morning fog over the redwoods
002	Point Reyes	Elephant seals at the overlook
003	Tomales Bay	Herons near the tidal flats
004	Mount Tam	Cloud inversion below the summit
005	Marin Headlands	Hawk migration along the ridge
006	Presidio	Cypress windbreak in late light
007	Lands End	Wave spray along the coastal trail
008	Angel Island	Oak canopy above the bay
009	Big Basin	New growth around the old trunks
010	Pescadero	Shorebirds gathering in the marsh
011	Pinnacles	Condor circling above the spires
012	Monterey	Sea otters resting in kelp
